sample,lon,lat,population
al.inex-Ker-196745,-118.67484,34.86755,P_alticola
al.inex-Ker-231951,-118.348,35.12132,P_alticola
al.inex-Ker-240074,-118.30937,35.09131,P_alticola
a.-Gila-240433,-110.7247,33.36801,P_amplus_Salt_Gila
a.-Mcp-240447,-112.6368,33.16165,P_amplus_S_AZ
a.-Pinal-240471,-111.3215,33.18795,P_amplus_Salt_Gila
a.ammo-Cno-BY40971,-111.6366,36.7258,P_amplus_ColPlat
a.ammo-Cno-BY40972,-111.5234,35.8716,P_amplus_ColPlat
a.cine-Cno-240162,-111.35717,35.49001,P_amplus_ColPlat
a.jack-Lpz-239420,-113.54886,34.11398,P_amplus_NW_AZ
a.jack-Lpz-239431,-113.53696,33.92077,P_amplus_NW_AZ
a.jack-Yav-239452,-112.99473,34.10075,P_amplus_NW_AZ
a.perg-Mhv-239469,-113.76004,35.3836,P_amplus_NW_AZ
a.perg-Mhv-239472,-114.46447,35.47553,P_amplus_NW_AZ
a.perg-Mhv-239482,-113.65156,34.74142,P_amplus_NW_AZ
a.perg-Mhv-239497,-114.03725,34.79565,P_amplus_NW_AZ
a.rotu-Son-BY16056,-111.17462,29.006324,P_amplus_S_AZ
a.rotu-Mcp-239769,-112.54194,32.98652,P_amplus_S_AZ
a.rotu-Pim-239797,-112.85464,32.39045,P_amplus_S_AZ
a.rotu-Pim-239800,-112.85192,32.33622,P_amplus_S_AZ
flavescens-Cno-240485,-111.35717,35.49001,P_flavescens
flavus-Cno-240489,-111.35717,35.49001,P_flavus
i.-Ker-231956,-118.35362,35.12158,P_inornatus_E
i.-Ker-231962,-118.348,35.12132,P_inornatus_E
i.-Ker-231985,-119.1713,35.03774,P_inornatus_E
i.-Ker-231987,-118.80669,35.28859,P_inornatus_E
i.-Ker-240077,-118.348,35.12132,P_inornatus_E
i.-Ker-240078,-118.348,35.12132,P_inornatus_E
i.-LA-230885,-118.78549,34.76877,P_inornatus_E
i.-SB-231988,-119.48618,34.88526,P_inornatus_W
i.inor-CC-182836,-121.79381,37.9358996,P_inornatus_W
i.inor-Ker-223849,-118.85656,35.518585,P_inornatus_E
i.inor-Ker-240075,-118.92474,34.94144,P_inornatus_E
i.inor-Ker-240076,-118.92474,34.94144,P_inornatus_E
i.inor-Mad-195944,-120.24057,36.87633,P_inornatus_E
i.inor-Mad-199140,-119.71843,37.0949,P_inornatus_E
i.inor-Mer-183158,-120.91416,36.996303,P_inornatus_W
i.inor-Sta-208205,-120.46245,37.66912,P_inornatus_W
i.inor-Tul-182713,-119.37889,35.921603,P_inornatus_E
i.negl-Ala-217990,-121.57163,37.7102984,P_inornatus_W
i.negl-Ker-239508,-119.63084,35.33965,P_inornatus_W
i.negl-Kin-198281,-120.0391,35.8769,P_inornatus_W
i.negl-SJ-199159,-121.45167,37.67,P_inornatus_W
i.negl-SLO-184681,-119.57505,35.090748,P_inornatus_W
i.psa.-Mon-219645,-121.3169,36.4587,P_inornatus_W
i.-Ker-182539,-117.95355,34.8667197,P_inornatus_E
i.-Ker-182540,-118.06377,34.8816968,P_inornatus_E
i.-Ker-184638,-117.98668,34.9673361,P_inornatus_E
